id,make,model,type,country,engine,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,,,"15,565","22,120","28,674","35,229","41,735","45,418","49,100","52,783","56,465","61,375"
270,Land Rover,Range Rover,Autobiography,USA/EU,1500,"12,880","18,420","23,960","29,500","35,000","38,000","42,000","46,000","50,000","55,000"
,,Evoque,,,,"15,810","22,611","29,411","36,211","42,963","46,645","51,555","56,465","61,375","67,513"
271,Land Rover,Discovery Sport,S/ Dynamic S,USA/EU,2000,"17,000","19,000","21,000","23,000","25,000","27,000","29,000","31,000","34,000","37,000"
,,,,,,"20,868","23,323","25,778","28,233","30,688","33,143","35,598","38,053","41,735","45,418"
272,Land Rover,Discovery Sport,SE/ Dynamic SE,USA/EU,2000,"20,000","22,000","24,000","26,000","28,000","30,000","32,000","35,000","38,000","41,000"
,,,,,,"24,550","27,005","29,460","31,915","34,370","36,825","39,280","42,963","46,645","50,328"
273,Land Rover,Discovery Sport,HSE/ Dynamic,USA/EU,2000,"21,000","23,000","25,000","27,000","29,000","32,000","35,000","39,000","43,000","47,000"
,,,HSE,,,"25,778","28,233","30,688","33,143","35,598","39,280","42,963","47,873","52,783","57,693"
274,Land Rover,Discovery,S/ Dynamic S,USA/EU,2000,"23,000","26,000","29,000","32,000","35,000","38,000","41,000","44,000","47,000","51,000"
,,,,,,"28,233","31,915","35,598","39,280","42,963","46,645","50,328","54,010","57,693","62,603"
275,Land Rover,Discovery,SE/ Dynamic SE,USA/EU,2000,"24,000","27,000","30,000","34,000","38,000","42,000","45,000","50,000","55,000","59,000"
,,,,,,"29,460","33,143","36,825","41,735","46,645","51,555","55,238","61,375","67,513","72,423"
276,Land Rover,Discovery,HSE/ Dynamic,USA/EU,2000,"25,000","28,000","32,000","36,000","40,000","44,000","48,000","52,000","56,000","60,000"
,,,HSE,,,"30,688","34,370","39,280","44,190","49,100","54,010","58,920","63,830","68,740","73,650"
277,Land Rover,Range Rover,S/ Dynamic S,USA/EU,2000,"17,000","19,000","21,000","23,000","25,000","27,000","29,000","32,000","35,000","37,000"
,,Evoque,,,,"20,868","23,323","25,778","28,233","30,688","33,143","35,598","39,280","42,963","45,418"
278,Land Rover,Range Rover,SE/ Dynamic SE,USA/EU,2000,"18,000","20,000","23,000","26,000","30,000","34,000","36,000","38,000","40,000","44,000"
,,Evoque,,,,"22,095","24,550","28,233","31,915","36,825","41,735","44,190","46,645","49,100","54,010"
279,Land Rover,Range Rover,HSE/ Dynamic,USA/EU,2000,"21,000","23,000","26,000","29,000","33,000","36,000","39,000","42,000","45,000","49,000"
,,Evoque,HSE,,,"25,778","28,233","31,915","35,598","40,508","44,190","47,873","51,555","55,238","60,148"
280,Land Rover,Range Rover,Autobiography,USA/EU,2000,-,-,-,-,-,-,"44,000","48,000","52,000","56,000"
,,Evoque,,,,,,,,,,"54,010","58,920","63,830","68,740"
281,Land Rover,Defender,90/ 90 S/ 110/ 110,USA/EU,2000,"20,000","22,000","24,000","27,000","30,000","33,000","36,000","38,000","42,000","47,000"
,,,S,,,"24,550","27,005","29,460","33,143","36,825","40,508","44,190","46,645","51,555","57,693"
282,Land Rover,Defender,90 SE/ 110 SE,USA/EU,2000,"21,000","23,000","25,000","28,000","32,000","35,000","38,000","41,000","45,000","50,000"
,,,,,,"25,778","28,233","30,688","34,370","39,280","42,963","46,645","50,328","55,238","61,375"
283,Land Rover,Defender,"90 Dynamic SE/ 
110 Dynamic SE",USA/EU,2000,"25,000","28,000","31,000","34,000","37,000","40,000","43,000","46,000","50,000","54,000"
,,,,,,"30,688","34,370","38,053","41,735","45,418","49,100","52,783","56,465","61,375","66,285"
284,Land Rover,Defender,"90 Dynamic SE 
PHEV/ 110 
Dynamic SE PHEV",USA/EU,2000,"19,660","26,240","32,820","39,400","46,000","49,000","53,000","57,000","61,000","65,000"
,,,,,,"24,133","32,210","40,287","48,364","56,465","60,148","65,058","69,968","74,878","79,788"
285,Land Rover,Defender,90 HSE /110 HSE,USA/EU,2000,"21,000","24,000","27,000","30,000","34,000","38,000","42,000","45,000","49,000","54,000"
,,,,,,"25,778","29,460","33,143","36,825","41,735","46,645","51,555","55,238","60,148","66,285"
286,Land Rover,Defender,90 X PHEV/ 110 X,USA/EU,2000,"21,060","29,040","37,020","45,000","53,000","58,000","63,000","68,000","73,000","78,000"
,,,PHEV,,,"25,851","35,647","45,442","55,238","65,058","71,195","77,333","83,470","89,608","95,745"
287,Land Rover,Range Rover Velar,S/ Dynamic S,USA/EU,2000,"20,000","22,000","25,000","28,000","32,000","36,000","40,000","44,000","48,000","52,000"
,,,,,,"24,550","27,005","30,688","34,370","39,280","44,190","49,100","54,010","58,920","63,830"
288,Land Rover,Range Rover Velar,S PHEV,USA/EU,2000,-,-,-,-,-,"46,000","50,000","54,000","58,000","62,000"
,,,,,,,,,,,"56,465","61,375","66,285","71,195","76,105"
289,Land Rover,Range Rover Velar,SE/ Dynamic SE,USA/EU,2000,"22,000","25,000","29,000","33,000","38,000","42,000","46,000","50,000","54,000","58,000"
,,,,,,"27,005","30,688","35,598","40,508","46,645","51,555","56,465","61,375","66,285","71,195"
290,Land Rover,Range Rover Velar,HSE/ Dynamic,USA/EU,2000,"25,000","28,000","32,000","36,000","40,000","45,000","50,000","55,000","60,000","65,000"
,,,HSE,,,"30,688","34,370","39,280","44,190","49,100","55,238","61,375","67,513","73,650","79,788"
291,Land Rover,Range Rover Velar,"Dynamic SE 
PHEV/ Dynamic 
HSE PHEV",USA/EU,2000,"25,000","29,000","33,000","38,000","43,000","48,000","53,000","58,000","63,000","68,000"
,,,,,,"30,688","35,598","40,508","46,645","52,783","58,920","65,058","71,195","77,333","83,470"
292,Land Rover,Range Rover Sport,HSE/ Dynamic,USA/EU,2000,"25,000","29,000","33,000","38,000","45,000","50,000","55,000","60,000","64,000","68,000"
,,,HSE,,,"30,688","35,598","40,508","46,645","55,238","61,375","67,513","73,650","78,560","83,470"
293,Land Rover,Range Rover Sport,Autobiography,USA/EU,2000,"19,860","26,640","33,420","40,200","47,000","52,000","58,000","65,000","75,000","80,000"
,,,(PHEV),,,"24,378","32,701","41,023","49,346","57,693","63,830","71,195","79,788","92,063","98,200"
294,Land Rover,Range Rover,HSE PHEV,USA/EU,2000,"23,460","33,840","44,220","54,600","65,000","72,000","79,000","86,000","92,000","97,000"
,,(Full Size),,,,"28,797","41,539","54,280","67,022","79,788","88,380","96,973","105,565","112,930","119,068"
295,Land Rover,Range Rover,Autobiography,USA/EU,2000,"24,060","35,040","46,020","57,000","68,000","75,000","83,000","90,000","100,000","105,000"
,,(Full Size),(PHEV),,,"29,534","43,012","56,490","69,968","83,470","92,063","101,883","110,475","122,750","128,888"
296,Land Rover,Discovery,S/ Dynamic S,USA/EU,3000,-,-,-,-,-,-,"39,000","44,000","49,000","54,000"
,,,,,,,,,,,,"47,873","54,010","60,148","66,285"
297,Land Rover,Discovery,SE/ Dynamic SE,USA/EU,3000,-,-,-,-,-,-,"48,000","53,000","58,000","63,000"
,,,,,,,,,,,,"58,920","65,058","71,195","77,333"
298,Land Rover,Discovery,HSE/ Dynamic,USA/EU,3000,-,-,-,-,-,-,"55,000","60,000","65,000","69,000"
,,,HSE,,,,,,,,,"67,513","73,650","79,788","84,698"
299,Land Rover,Defender,90/ 90 S/ 110/ 110,USA/EU,3000,"23,000","25,000","28,000","31,000","34,000","37,000","40,000","44,000","47,000","50,000"
,,,S,,,"28,233","30,688","34,370","38,053","41,735","45,418","49,100","54,010","57,693","61,375"
300,Land Rover,Defender,130/ 130 S,USA/EU,3000,-,-,-,-,-,-,-,"50,000","55,000","60,000"
,,,,,,,,,,,,,"61,375","67,513","73,650"
301,Land Rover,Defender,"90 SE/ 90 
Dynamic SE/ 110 
SE/ 110 Dynamic",USA/EU,3000,"23,000","26,000","30,000","34,000","38,000","42,000","46,000","50,000","54,000","58,000"
,,,,,,"28,233","31,915","36,825","41,735","46,645","51,555","56,465","61,375","66,285","71,195"
302,Land Rover,Defender,130 SE/ 130,USA/EU,3000,-,-,-,-,-,-,-,"63,000","68,000","73,000"
,,,Dynamic SE,,,,,,,,,,"77,333","83,470","89,608"
303,Land Rover,Defender,"90 HSE/ 90 
Dynamic
HSE/110 HSE/ 110",USA/EU,3000,"25,000","28,000","32,000","36,000","40,000","44,000","48,000","52,000","56,000","61,000"
,,,Dynamic HSE,,,"30,688","34,370","39,280","44,190","49,100","54,010","58,920","63,830","68,740","74,878"
304,Land Rover,Defender,"90 XS/ 90 First 
Edition/110 XS/ 
110 First Edition",USA/EU,3000,"27,000","30,000","34,000","38,000","42,000","46,000","50,000","54,000","58,000","63,000"
,,,,,,"33,143","36,825","41,735","46,645","51,555","56,465","61,375","66,285","71,195","77,333"
305,Land Rover,Defender,130 First Edition,USA/EU,3000,-,-,-,-,-,-,-,"65,000","70,000","75,000"
,,,,,,,,,,,,,"79,788","85,925","92,063"
306,Land Rover,Defender,90 X/ 110 X,USA/EU,3000,"34,000","39,000","43,000","47,000","52,000","57,000","62,000","67,000","72,000","77,000"
,,,,,,"41,735","47,873","52,783","57,693","63,830","69,968","76,105","82,243","88,380","94,518"
307,Land Rover,Defender,130 X,USA/EU,3000,-,-,-,-,-,-,-,"75,000","80,000","85,000"
,,,,,,,,,,,,,"92,063","98,200","104,338"
308,Land Rover,Range Rover Velar,S/ Dynamic S,USA/EU,3000,"25,000","28,000","32,000","36,000","40,000","44,000","48,000","52,000","56,000","60,000"
,,,,,,"30,688","34,370","39,280","44,190","49,100","54,010","58,920","63,830","68,740","73,650"
309,Land Rover,Range Rover Velar,SE/ Dynamic SE,USA/EU,3000,"27,000","31,000","35,000","39,000","43,000","47,000","51,000","55,000","60,000","65,000"
,,,,,,"33,143","38,053","42,963","47,873","52,783","57,693","62,603","67,513","73,650","79,788"
310,Land Rover,Range Rover Velar,HSE/  Dynamic,USA/EU,3000,"34,000","38,000","43,000","47,000","51,000","55,000","59,000","63,000","67,000","71,000"
,,,HSE,,,"41,735","46,645","52,783","57,693","62,603","67,513","72,423","77,333","82,243","87,153"
311,Land Rover,Range Rover Velar,Autobigography,USA/EU,3000,"36,000","40,000","44,000","49,000","53,000","57,000","61,000","65,000","69,000","74,000"
,,,,,,"44,190","49,100","54,010","60,148","65,058","69,968","74,878","79,788","84,698","90,835"
312,Land Rover,Range Rover Sport,SE/ HSE/ HST,USA/EU,3000,"30,000","34,000","38,000","42,000","47,000","52,000","57,000","63,000","69,000","75,000"
,,,,,,"36,825","41,735","46,645","51,555","57,693","63,830","69,968","77,333","84,698","92,063"
313,Land Rover,Range Rover Sport,Dynamic SE/,USA/EU,3000,-,-,-,-,-,-,"70,000","77,000","84,000","91,000"
,,,Dynamic HSE,,,,,,,,,"85,925","94,518","103,110","111,703"
314,Land Rover,Range Rover Sport,Autobiography,USA/EU,3000,"38,000","43,000","48,000","53,000","58,000","65,000","72,000","80,000","87,000","95,000"
,,,,,,"46,645","52,783","58,920","65,058","71,195","79,788","88,380","98,200","106,793","116,613"
315,Land Rover,Range Rover Sport,"Autobiography 
PHEV/ First",USA/EU,3000,"27,060","36,040","45,020","54,000","63,000","70,000","77,000","85,000","92,000","101,000"
,,,,,,"33,216","44,239","55,262","66,285","77,333","85,925","94,518","104,338","112,930","123,978"
316,Land Rover,Range Rover,Vogue/ SE,USA/EU,3000,"38,000","43,000","48,000","53,000","58,000","65,000","75,000","85,000","93,000","98,000"
,,(Full Size),,,,"46,645","52,783","58,920","65,058","71,195","79,788","92,063","104,338","114,158","120,295"
317,Land Rover,Range Rover,HSE,USA/EU,3000,"26,460","34,840","43,220","51,600","60,000","67,000","75,000","88,000","95,000","100,000"
,,(Full Size),,,,"32,480","42,766","53,053","63,339","73,650","82,243","92,063","108,020","116,613","122,750"
318,Land Rover,Range Rover,Autobiography​,USA/EU,3000,"31,060","44,040","57,020","70,000","83,000","93,000","103,000","113,000","123,000","134,000"
,,(Full Size),,,,"38,126","54,059","69,992","85,925","101,883","114,158","126,433","138,708","150,983","164,485"
319,Land Rover,Range Rover,First Edition,USA/EU,3000,"33,460","48,840","64,220","79,600","95,000","102,000","112,000","122,000","132,000","142,000"
,,(Full Size),,,,"41,072","59,951","78,830","97,709","116,613","125,205","137,480","149,755","162,030","174,305"
320,Land Rover,Range Rover Sport,SE/ Dynamic SE,USA/EU,4400,-,-,-,-,-,-,-,"82,000","89,000","96,000"
,,,,,,,,,,,,,"106,744","115,856","124,968"
321,Land Rover,Range Rover Sport,HSE/ Dynamic,USA/EU,4400,-,-,-,-,-,-,-,"86,000","95,000","104,000"
,,,HSE,,,,,,,,,,"111,951","123,666","135,382"
322,Land Rover,Range Rover Sport,Autobiography/,USA/EU,4400,-,-,-,-,-,-,"80,000","90,000","100,000","109,000"
,,,First Edition,,,,,,,,,"104,140","117,158","130,175","141,891"
323,Land Rover,Range Rover Sport,SV,USA/EU,4400,-,-,-,-,-,-,-,"130,000","145,000","161,000"
,,,,,,,,,,,,,"169,228","188,754","209,582"
324,Land Rover,Range Rover,Vogue/ SE,USA/EU,4400,"41,060","51,540","62,020","72,500","83,000","90,000","97,000","105,000","115,000","125,000"
,,(Full Size),,,,"53,450","67,092","80,735","94,377","108,045","117,158","126,270","136,684","149,701","162,719"
325,Land Rover,Range Rover,HSE,USA/EU,4400,"43,060","55,540","68,020","80,500","93,000","100,000","107,000","115,000","125,000","132,000"
,,(Full Size),,,,"56,053","72,299","88,545","104,791","121,063","130,175","139,287","149,701","162,719","171,831"
326,Land Rover,Range Rover,Autobiography,USA/EU,4400,"44,460","58,340","72,220","86,100","100,000","110,000","120,000","130,000","140,000","146,000"
,,(Full Size),,,,"57,876","75,944","94,012","112,081","130,175","143,193","156,210","169,228","182,245","190,056"
327,Land Rover,Range Rover,First Edition,USA/EU,4400,"44,460","58,340","72,220","86,100","100,000","110,000","120,000","130,000","140,000","150,000"
,,(Full Size),,,,"57,876","75,944","94,012","112,081","130,175","143,193","156,210","169,228","182,245","195,263"
328,Land Rover,Defender,90 V8 (XV8)/ 110,USA/EU,5000,"45,000","50,000","55,000","60,000","65,000","70,000","75,000","80,000","88,000","95,000"
,,,V8 (XV8),,,"58,579","65,088","71,596","78,105","84,614","91,123","97,631","104,140","114,554","123,666"
329,Land Rover,Defender,"90 Carpathian 
Edition/ 110 
Carpathian Edition",USA/EU,5000,-,-,-,-,"68,000","75,000","82,000","89,000","96,000","103,000"
,,,,,,,,,,"88,519","97,631","106,744","115,856","124,968","134,080"
330,Land Rover,Range Rover,Autobiography,USA/EU,5000,"65,000","71,000","78,000","88,000","98,000","108,000","118,000","128,000","138,000","148,000"
,,(Full Size),,,,"84,614","92,424","101,537","114,554","127,572","140,589","153,607","166,624","179,642","192,659"
331,Land Rover,Range Rover,SV/ SV,USA/EU,-,"90,000","100,000","110,000","120,000","130,000","140,000","150,000","160,000","175,000","187,000"
,,(Full Size),Autobiography,,,"117,158","130,175","143,193","156,210","169,228","182,245","195,263","208,280","227,806","243,427"
332,Lexus,RZ,300e,Japan/USA,Electric,-,-,-,-,-,-,-,-,"45,000","50,000"
,,,,,,,,,,,,,,"28,508","31,675"
333,Lexus,RZ,450e,Japan/USA,Electric,-,-,-,-,-,"40,000","45,000","50,000","55,000","60,000"
,,,,,,,,,,,"25,340","28,508","31,675","34,843","38,010"
334,Lexus,UX,-,Japan/USA,2000,"14,000","15,000","17,000","19,000","21,000","23,000","25,000","27,000","29,000","31,000"
,,,,,,"17,185","18,413","20,868","23,323","25,778","28,233","30,688","33,143","35,598","38,053"
,Lexus,UX,Hyrbird,Japan/USA,2000,"14,000","15,000","17,000","19,000","21,000","23,000","25,000","27,000","29,000","31,000"
,,,,,,"16,146","17,299","19,605","21,912","24,218","26,525","28,831","31,138","33,444","35,751"
335,Lexus,NX/ ES/ IS/  RC/,-,Japan/USA,2000,"15,000","17,000","19,000","21,000","23,000","25,000","27,000","29,000","31,000","33,000"
,,GS,,,,"18,413","20,868","23,323","25,778","28,233","30,688","33,143","35,598","38,053","40,508"
336,Lexus,RX,-,Japan/USA,2000,"16,000","18,000","20,000","22,000","25,000","28,000","31,000","33,000","35,000","37,000"
,,,,,,"19,640","22,095","24,550","27,005","30,688","34,370","38,053","40,508","42,963","45,418"
337,Lexus,TX,350,Japan/USA,2400,-,-,-,-,-,-,-,-,"46,000","50,000"
,,,,,,,,,,,,,,"56,465","61,375"
338,Lexus,TX,500H,Japan/USA,2400,-,-,-,-,-,-,-,-,"58,000","63,000"
,,,,,,,,,,,,,,"66,889","72,655"
339,Lexus,ES,250/ 300H,Japan/USA,2.4l/2.5l,"19,000","20,900","22,800","24,700","26,600","28,500","30,400","32,300","34,200","37,000"
,,,,,,"21,912","24,103","26,294","28,485","30,676","32,868","35,059","37,250","39,441","42,670"
340,Lexus,NX,250/ 300/ 350/,Japan/USA,2.4l/2.5l,"19,000","20,900","22,800","24,700","26,600","28,500","30,400","32,300","34,200","37,000"
,,,350H,,,"23,323","25,655","27,987","30,319","32,652","34,984","37,316","39,648","41,981","45,418"
,Lexus,NX,250/ 300/ 350/,Hyrbird,2.4l/2.5l,"19,000","20,900","22,800","24,700","26,600","28,500","30,400","32,300","34,200","37,000"
,,,350H,,,"21,912","24,103","26,294","28,485","30,676","32,868","35,059","37,250","39,441","42,670"
341,Lexus,NX,450H,Hyrbird,2.4l/2.5l,-,-,-,-,-,-,"32,000","35,000","38,000","41,000"
,,,,,,,,,,,,"36,904","40,364","43,824","47,283"
342,Lexus,RX,350/ 350H,Japan/USA,2.4l/2.5l,-,-,-,-,-,-,-,"38,000","41,000","44,000"
,,,,,,,,,,,,,"46,645","50,328","54,010"
,Lexus,RX,350/ 350H,Hyrbird,2.4l/2.5l,-,-,-,-,-,-,-,"38,000","41,000","44,000"
,,,,,,,,,,,,,"43,824","47,283","50,743"
343,Lexus,RX,500H,Japan/USA,2.4l/2.5l,-,-,-,-,-,-,-,"40,000","43,000","46,000"
,,,,,,,,,,,,,"46,130","49,590","53,050"
344,Lexus,LM500H,5 - 7 កៅអី,Japan/USA,2400,-,-,-,-,-,-,-,-,"74,000","80,000"
,,,,,,,,,,,,,,"85,341","92,260"
345,Lexus,LM500H,4 កៅអី,Japan/USA,2400,-,-,-,-,-,-,-,-,"85,000","91,000"
,,,,,,,,,,,,,,"98,026","104,946"
346,Lexus,LM350H,5 - 7 កៅអី,Japan/USA,2500,-,-,-,-,-,-,-,-,"69,000","75,000"
,,,,,,,,,,,,,,"79,574","86,494"
347,Lexus,LM350H,4 កៅអី,Japan/USA,2500,-,-,-,-,-,-,-,-,"80,000","86,000"
,,,,,,,,,,,,,,"92,260","99,180"
348,Lexus,LM300H,5 - 7 កៅអី,Japan/USA,2500,-,-,-,-,"45,000","50,000","55,000","60,000",-,-
,,,,,,,,,,"51,896","57,663","63,429","69,195",,
349,Lexus,LM300H,4 កៅអី,Japan/USA,2500,-,-,-,-,"53,000","58,000","63,000","68,000",-,-
,,,,,,,,,,"61,122","66,889","72,655","78,421",,
350,Lexus,RX,-,Japan/USA,3000,"21,000","23,000","25,000","28,000","31,000","34,000","37,000","40,000",-,-
,,,,,,"25,778","28,233","30,688","34,370","38,053","41,735","45,418","49,100",,
351,Lexus,LX500d,-,Japan/USA,3300,-,-,-,-,-,-,"55,000","60,000","65,000","70,000"
,,,,,,,,,,,,"71,596","78,105","84,614","91,123"
352,Lexus,GX - 550,-,Japan/USA,3.4l/ 3.5l,-,-,-,-,-,-,-,-,"53,000","58,000"
,,,,,,,,,,,,,,"68,993","75,502"
353,Lexus,ES,-,Japan/USA,3500,"24,700","26,300","27,900","29,500","31,100","32,700","34,300","35,900","37,500","40,000"
,,,,,,"32,153","34,236","36,319","38,402","40,484","42,567","44,650","46,733","48,816","52,070"
354,Lexus,RC/ GS,-,Japan/USA,3500,"27,000","29,000","31,000","33,000","35,000","37,000","39,000","41,000",-,-
,,,,,,"35,147","37,751","40,354","42,958","45,561","48,165","50,768","53,372",,
355,Lexus,RX/ NX,-,Japan/USA,3500,"27,000","29,000","31,000","33,000","35,000","37,000","39,000","41,000",-,-
,,,,,,"35,147","37,751","40,354","42,958","45,561","48,165","50,768","53,372",,
356,Lexus,LS,500/ 500H,Japan/USA,3.4l/ 3.5l,"32,000","35,000","38,000","41,000","45,000","50,000","55,000","63,000","73,000","83,000"
,,,,,,"41,656","45,561","49,467","53,372","58,579","65,088","71,596","82,010","95,028","108,045"
,Lexus,LS,500/ 500H,Japan/USA,3.4l/ 3.5l,"32,000","35,000","38,000","41,000","45,000","50,000","55,000","63,000","73,000","83,000"
,,,,,,"36,904","40,364","43,824","47,283","51,896","57,663","63,429","72,655","84,187","95,720"
357,Lexus,LC,500H,Japan/USA,3500,"34,000","38,000","42,000","46,000","50,000","54,000","58,000","62,000","66,000","70,000"
,,,,,,"39,211","43,824","48,437","53,050","57,663","62,276","66,889","71,502","76,115","80,728"
358,Lexus,TX,550H,Japan/USA,3500,-,-,-,-,-,-,-,-,"60,000","65,000"
,,,,,,,,,,,,,,"69,195","74,961"
359,Lexus,LM350,5 - 7 កៅអី,Japan/USA,3500,-,-,-,-,"52,000","57,000","62,000","67,000",-,-
,,,,,,,,,,"67,691","74,200","80,709","87,217",,
360,Lexus,LM350,4 កៅអី,Japan/USA,3500,-,-,-,-,"67,000","72,000","77,000","82,000",-,-
,,,,,,,,,,"87,217","93,726","100,235","106,744",,
361,Lexus,LX600,6 - 7 កៅអី,Japan/USA,3.4l/ 3.5l,-,-,-,-,-,-,"60,000","65,000","70,000","75,000"
,,,,,,,,,,,,"78,105","84,614","91,123","97,631"
362,Lexus,LX600,5 កៅអី,Japan/USA,3.4l/ 3.5l,-,-,-,-,-,-,"65,000","70,000","75,000","80,000"
,,,,,,,,,,,,"84,614","91,123","97,631","104,140"
363,Lexus,LX600,4 កៅអី,Japan/USA,3.4l/ 3.5l,-,-,-,-,-,-,"72,000","77,000","82,000","87,000"
,,,,,,,,,,,,"93,726","100,235","106,744","113,252"
,Lexus,LX700H,6 - 7 កៅអី,Japan/USA,3.4l/ 3.5l,-,-,-,-,-,-,-,-,-,"85,000"
,,,,,,,,,,,,,,,"98,026"
,Lexus,LX700H,5 កៅអី,Japan/USA,3.4l/ 3.5l,-,-,-,-,-,-,-,-,-,"96,000"
,,,,,,,,,,,,,,,"110,712"
,Lexus,LX700H,4 កៅអី,Japan/USA,3.4l/ 3.5l,-,-,-,-,-,-,-,-,-,"98,000"
,,,,,,,,,,,,,,,"113,019"
364,Lexus,LX450d,-,Russia/Japan,4500,"37,000","40,000","43,000","46,000","50,000","54,000",-,-,-,-
,,,,,,"48,165","52,070","55,975","59,881","65,088","70,295",,,,
365,Lexus,GX460,-,Japan/USA,4600,"41,500","43,000","44,500","46,000","47,500","49,000","52,000","55,000",-,-
,,,,,,"54,023","55,975","57,928","59,881","61,833","63,786","67,691","71,596",,
366,Lexus,LC,500,Japan/USA,5000,"47,000","50,000","54,000","57,000","60,000","63,000","66,000","70,000","75,000","80,000"
,,,,,,"61,182","65,088","70,295","74,200","78,105","82,010","85,916","91,123","97,631","104,140"
367,Lexus,LS600h,-,Japan/USA,5000,"48,000","52,000","56,000","60,000","65,000","70,000",-,-,-,-
,,,,,,"55,356","59,969","64,582","69,195","74,961","80,728",,,,
368,Lexus,LX570,-,Japan/USA,5700,"55,000","58,000","61,000","64,000","67,000","70,000",-,-,-,-
,,,,,,"71,596","75,502","79,407","83,312","87,217","91,123",,,,
369,Lincoln,Corsair,-,USA/EU,2000,"13,900","15,700","17,500","19,300","21,100","22,900","24,700","26,500","28,300","31,000"
,,,,,,"17,062","19,272","21,481","23,691","25,900","28,110","30,319","32,529","34,738","38,053"
370,Lincoln,Nautilus,-,USA/EU,2000,"14,000","16,000","18,000","20,000","22,000","24,000","27,000","30,000","33,000","35,000"
,,,,,,"17,185","19,640","22,095","24,550","27,005","29,460","33,143","36,825","40,508","42,963"
371,Lincoln,Nautilus,-,USA/EU,2700,"22,000","24,000","26,000","28,000","31,000","35,000","38,000","42,000","46,000","50,000"
,,,,,,"27,005","29,460","31,915","34,370","38,053","42,963","46,645","51,555","56,465","61,375"
372,Lincoln,Aviator,-,USA/EU,3000,"21,000","23,000","25,000","27,000","30,000","33,000","36,000","40,000","44,000","48,000"
,,,,,,"25,778","28,233","30,688","33,143","36,825","40,508","44,190","49,100","54,010","58,920"
373,Lincoln,Navigator,-,USA/EU,3500,"27,000","31,000","35,000","40,000","47,000","54,000","60,000","65,000","70,000","75,000"
,,,,,,"35,147","40,354","45,561","52,070","61,182","70,295","78,105","84,614","91,123","97,631"
374,Lucid,Air,Pure/ Touring,USA/EU,Electric,-,-,-,-,-,-,"75,000","80,000","85,000","90,000"
,,,,,,,,,,,,"47,513","50,680","53,848","57,015"
375,Lucid,Air,Grand Touring/,USA/EU,Electric,-,-,-,-,-,-,"110,000","120,000","130,000","140,000"
,,,Dream Edition,,,,,,,,,"69,685","76,020","82,355","88,690"
376,Maserati,Glecale,-,USA/EU,2000,-,-,-,-,-,-,-,"52,000","56,000","60,000"
,,,,,,,,,,,,,,,
377,Maserati,Levante/ Ghibli,-,USA/EU,2000,"20,460","27,840","35,220","42,600","50,000","55,000","60,000","64,000","68,000","72,000"
,,,,,,"25,115","34,174","43,233","52,292","61,375","67,513","73,650","78,560","83,470","88,380"
378,Maserati,"Levante/ Ghibli/ 
Glecale",-,USA/EU,3000,"32,000","37,000","42,000","47,000","52,000","57,000","62,000","66,000","70,000","74,000"
,,,,,,"39,280","45,418","51,555","57,693","63,830","69,968","76,105","81,015","85,925","90,835"
379,Maserati,Quattroporte,"GT (S)/ Modena 
(S)",USA/EU,3000,"37,000","42,000","47,000","52,000","57,000","62,000","68,000","74,000","80,000","85,000"
,,,,,,"45,418","51,555","57,693","63,830","69,968","76,105","83,470","90,835","98,200","104,338"
380,Maserati,MC20,Cielo,USA/EU,3000,"32,460","46,840","61,220","75,600","90,000","100,000","110,000","130,000","150,000","165,000"
,,,,,,"39,845","57,496","75,148","92,799","110,475","122,750","135,025","159,575","184,125","202,538"
381,Maserati,Ghibli,Trofeo,USA/EU,3800,"32,200","40,900","49,600","58,300","67,000","75,000","80,000","85,000","90,000","95,000"
,,,,,,"41,916","53,242","64,567","75,892","87,217","97,631","104,140","110,649","117,158","123,666"
382,Maserati,Levante,"GT (S)/ Modena 
(S)",USA/EU,3800,"32,600","41,700","50,800","59,900","69,000","75,000","81,000","88,000","95,000","102,000"
,,,,,,"42,437","54,283","66,129","77,975","89,821","97,631","105,442","114,554","123,666","132,779"
383,Maserati,Levante,Trofeo,USA/EU,3800,"33,800","44,100","54,400","64,700","75,000","85,000","95,000","105,000","120,000","130,000"
,,,,,,"43,999","57,407","70,815","84,223","97,631","110,649","123,666","136,684","156,210","169,228"
384,Maserati,Quattroporte,Trofeo,USA/EU,3800,"33,400","43,300","53,200","63,100","73,000","80,000","90,000","100,000","110,000","120,000"
,,,,,,"43,478","56,366","69,253","82,140","95,028","104,140","117,158","130,175","143,193","156,210"
385,Mazda,EZ6,-,China,Electric,-,-,-,-,-,-,-,-,"23,000","25,000"
,,,,,,,,,,,,,,"14,571","15,838"
386,Mazda,2,-,Thailand,1500,-,-,-,-,"7,000","7,400","7,800","8,200","8,600","9,000"
,,,,,,,,,,"8,593","9,084","9,575","10,066","10,557","11,048"
387,Mazda,3,-,Japan/USA,1500,-,-,-,-,"8,000","9,000","9,500","10,000","11,000","12,000"
,,,,,,,,,,"9,820","11,048","11,661","12,275","13,503","14,730"
388,Mazda,6,-,Japan/USA,2000,-,-,-,-,"13,000","14,000","15,000","16,000","17,000","18,000"
,,,,,,,,,,"15,958","17,185","18,413","19,640","20,868","22,095"
389,Mazda,CX 3,2WD,Japan/USA,2000,-,-,-,-,"8,000","8,500","9,500","10,000","10,500","11,500"
